"","","","","","","","","","","",""
"","Imports, CIF from Partner Countries","","","","","","","","","",""
"","","","","","","","","","","",""
"","World","","","","","","","","","",""
"","US Dollars, Millions","","","","","","","","","",""
"","","","","","","","","","","",""
"","Uganda","1,379.83","1,701.81","1,732.82","1,769.16","1,816.36","1,832.84","2,022.43","3,233.09","3,948.27","4,164.65"
"","Zambia","7,308.92","9,235.13","9,150.49","8,963.45","8,559.56","7,407.10","7,384.23","8,536.08","9,957.51","9,789.24"
"","Zimbabwe","1,485.70","2,684.64","2,815.81","2,804.22","2,689.72","2,425.44","2,249.98","2,586.06","3,441.77","3,335.05"
"","Africa not specified","1,848.19","2,615.88","152.88","131.96","137.46","107.64","201.10","357.68","306.59","383.30"
"","Western Hemisphere","954,469.69","1,167,799.83","1,210,207.56","1,191,633.38","1,168,154.39","1,000,970.91","959,779.34","1,059,080.58","1,160,628.04","1,137,108.12"
"","Anguilla","2.91","5.48","3.57","2.17","3.55","26.94","23.37","15.03","17.45","47.58"
"","Antigua and Barbuda","188.74","304.83","212.97","335.69","616.63","488.17","301.44","233.80","303.98","379.72"
"","Argentina","71,544.85","84,346.12","85,127.34","81,247.48","73,487.18","62,440.71","61,104.93","62,675.90","64,455.09","68,645.93"
"","Aruba, Kingdom of the Netherlands","444.38","4,552.92","1,819.06","729.62","625.94","331.35","173.96","239.39","114.43","109.42"
"","Bahamas, The","3,083.14","3,125.21","2,990.03","3,928.15","4,997.77","2,687.01","1,943.38","1,724.37","1,750.72","2,464.08"
"","Barbados","363.87","401.07","361.31","454.79","528.30","332.46","320.98","384.19","397.00","382.64"
"","Belize","445.81","535.92","569.24","598.72","572.48","469.25","497.33","530.45","536.88","341.89"
"","Bermuda","867.15","626.86","294.69","398.14","134.32","622.36","471.59","219.18","310.16","600.97"
"","Bolivia","5,953.80","7,606.32","10,416.50","11,180.24","12,295.86","8,633.32","6,943.93","7,487.40","8,632.56","8,569.46"
"","Brazil","215,750.40","271,200.48","261,623.89","246,597.06","241,666.37","210,287.57","201,726.67","235,131.24","257,073.30","247,765.84"
"","Chile","71,876.81","85,854.59","81,590.83","81,478.70","80,009.86","68,327.28","62,373.62","71,060.94","81,678.88","76,392.09"
"","Colombia","40,782.76","55,516.88","62,191.10","61,457.36","59,883.05","42,974.62","37,778.41","42,294.60","46,471.61","43,292.78"
"","Costa Rica","26,323.25","30,358.83","35,894.48","36,094.21","32,879.83","13,180.13","12,886.17","13,700.14","14,357.01","14,768.90"
